,Name,RA,DEC,SpT,Teff,logg,Fe_H,ref_name,Teff_err,logg_err,Fe_H_err
113,Gl191,77.91912216,-45.01843165,M0.0,3571.0,4.9,-0.4,Mald2020,68.0,0.05,0.09
114,Lalande 21185,165.61004166666666,36.03402777777777,M1.5V,3598,4.869999885559082,-0.09000000357627869,Pass2018,51.0,0.07,0.16
115,BD+043561a,269.45207,4.69339,sdM4,3332,5.199999809265137,-0.15000000596046448,Soub2008,140.0,0.0,0.21
116,Gl 745B,286.80502,20.87702,dM2.0,3526,4.960000038146973,-0.23000000417232513,Schw2019,51.0,0.07,0.16
117,Gl413.1,167.38060422,-24.59864394,M2.0,3574.0,4.8,-0.1,Mald2020,68.0,0.05,0.09
118,GJ 4063,278.65272,40.12399,dM3.5,3400,4.96999979019165,0.10999999940395355,Schw2019,51.0,0.07,0.16
119,HD219734,349.43604166666665,49.01530555555556,M2 III,3730,0.8999999761581421,0.27000001072883606,MILES1,0.0,0.0,0.0
120,Gl 277C,112.99049,36.21939,dM3.5,3314,5.070000171661377,-0.05999999865889549,Schw2019,51.0,0.07,0.16
121,BD+02 348,32.870875,3.4919444444444445,M1.5V,3659,4.809999942779541,-0.05000000074505806,Pass2018,51.0,0.07,0.16
122,LSPM J2116+0234,318.9124583333333,2.5135277777777776,M3.0V,3475,4.949999809265137,-0.05000000074505806,Pass2018,51.0,0.07,0.16
123,Luytens Star,111.64216666666665,5.241555555555555,M3.5V,3358,5.010000228881836,0.03999999910593033,Pass2018,51.0,0.07,0.16
124,GL 109,41.06462,25.52336,dM3,3405,4.849999904632568,-0.10000000149011612,Yee2017,60.0,0.05,0.05
125,VX Ari,40.83570833333333,25.454638888888887,M3.0V,3459,4.960000038146973,-0.07000000029802322,Pass2018,51.0,0.07,0.16
126,Gl618A,245.01461233,-37.52900234,M3.0,3455.0,4.87,-0.08,Mald2020,68.0,0.07,0.09
127,Gl588,233.05388594,-41.27559211,M3.0,3525.0,4.76,0.1,Mald2020,68.0,0.05,0.09
128,GJ 1223,270.69277,37.51749,dM5.0,3163,5.119999885559082,0.029999999329447746,Schw2019,51.0,0.07,0.16
129,BD+09 2636,187.60966666666664,8.896416666666665,M0.5V,3913,4.710000038146973,-0.05000000074505806,Pass2018,51.0,0.07,0.16
130,GJ 4383,359.63607,7.65837,dM3.0,3471,4.940000057220459,-0.029999999329447746,Schw2019,51.0,0.07,0.16
131,Gl 363,145.59663,55.98369,dM3.5,3399,4.980000019073486,0.07999999821186066,Schw2019,51.0,0.07,0.16
132,Wolf 940,326.4667083333333,-0.24986111111111112,M4.0V,3346,5.019999980926514,0.05000000074505806,Pass2018,51.0,0.07,0.16
133,Ross 1003,175.2209583333333,42.84038888888889,M4.0V,3358,4.989999771118164,0.12999999523162842,Pass2018,51.0,0.07,0.16
134,GJ 1148,175.43598,42.75197,dM4.0,3375,4.989999771118164,0.09000000357627869,Schw2019,51.0,0.07,0.16
135,HD 018191,43.95208333333333,18.331666666666667,M6IIIvar,3450,0.5,-0.009999999776482582,STELIB,0.0,0.0,0.0
136,HD 36389,83.053125,18.59422222222222,M2Iab:,3706,0.699999988079071,0.10999999940395355,CFLIB,0.0,0.0,0.0
137,Wolf 1450,82.26575,-3.455611111111111,M2.5V,3474,4.929999828338623,0.0,Pass2018,51.0,0.07,0.16
138,Gl 172,69.42054,52.89361,dM0.0,4034,4.679999828338623,-0.09000000357627869,Schw2019,51.0,0.07,0.16
139,GJ9689,303.46586361,13.38880949,M0.5,3836.0,4.69,-0.1,Mald2020,69.0,0.05,0.09
140,Wolf 906,315.2813749999999,-6.38413888888889,M2.5V,3521,4.900000095367432,-0.05000000074505806,Pass2018,51.0,0.07,0.16
141,GJ9492,220.58989967,66.0557903,M2.0,3504.0,4.9,-0.27,Mald2020,68.0,0.06,0.09
142,BD+57 2735,350.94354166666665,57.764944444444446,M1.0V,3824,4.690000057220459,0.11999999731779099,Pass2018,51.0,0.07,0.16
143,BPM96441,318.23105432,31.13175017,M0.0,3942.0,4.58,-0.01,Mald2020,71.0,0.08,0.09
144,GJ649,254.53687414,25.74415864,M1.0,3735.0,4.75,-0.14,Mald2020,68.0,0.04,0.09
145,HD 42475,92.96420833333333,21.868222222222222,M1Iab:,4000,0.699999988079071,-0.36000001430511475,CFLIB,0.0,0.0,0.0
146,Gl 480,189.7185,11.69615,dM3.0,3439,4.960000038146973,0.0,Schw2019,51.0,0.07,0.16
147,Ross 364,43.854166666666664,55.37130555555556,M1.0V,3891,4.659999847412109,0.1899999976158142,Pass2018,51.0,0.07,0.16
148,Gl 393,157.23146,0.841,dM2.0,3579,4.880000114440918,-0.09000000357627869,Schw2019,51.0,0.07,0.16
149,Gl 549B,216.29825,51.83142,dM2.5,3521,4.909999847412109,-0.07000000029802322,Schw2019,51.0,0.07,0.16
150,Gl 154,56.58392,26.21551,dM0.0,3993,4.650000095367432,0.11999999731779099,Schw2019,51.0,0.07,0.16
151,Gl 763,293.666,4.58251,sdM0.0,4062,4.690000057220459,-0.17000000178813934,Schw2019,51.0,0.07,0.16
152,Gl229,92.64423021,-21.86462723,M1.0,3782.0,4.71,-0.06,Mald2020,68.0,0.05,0.09
153,GJ411,165.83414166,35.96988004,M2.0,3517.0,4.89,-0.28,Mald2020,68.0,0.05,0.09
154,Gl406,164.1201092,7.014539999999999,M4.0,3419.0,4.8,0.23,Mald2020,70.0,0.08,0.1
155,G 140-051,274.13142,4.87938,dM5.0,3226,5.090000152587891,0.03999999910593033,Schw2019,51.0,0.07,0.16
156,GJ173,69.42444106,-11.03888064,M2.0,3610.0,4.8,-0.15,Mald2020,68.0,0.04,0.09
157,BD+21 652,67.01225,21.888833333333334,M0.5V,4194,4.590000152587891,0.20000000298023224,Pass2018,51.0,0.07,0.16
158,G 108-021,100.33624999999999,3.59625,M3.5V,3436,4.960000038146973,0.019999999552965164,Pass2018,51.0,0.07,0.16
159,Gl 282C,114.0295,-3.11078,dM1.0,3894,4.690000057220459,0.05000000074505806,Schw2019,51.0,0.07,0.16
160,LHS1935,114.67066818,-21.22457721,M3.0,3403.0,4.96,-0.19,Mald2020,68.0,0.09,0.09
161,G 204-039,269.35137499999996,46.592000000000006,M2.5V,3459,4.940000057220459,0.0,Pass2018,51.0,0.07,0.16
162,HIP 115562,351.12714,57.85431,M1.5Ve,3764,4.739999771118164,0.3100000023841858,Yee2017,60.0,0.05,0.05
