,Name,RA,DEC,SpT,Teff,logg,Fe_H,ref_name
263,GJ 628,247.57524,-12.66259,M3V,3272,4.88,-0.03,Yee2017
264,GL 105B,39.06399,6.87198,M3.5V,3284,4.94,-0.12,Yee2017
265,GL 109,41.06462,25.52336,dM3,3405,4.85,-0.1,Yee2017
266,GL 2066,124.03326,1.30257,M2.0V,3500,4.77,-0.12,Yee2017
267,GL 239,99.295,17.56482,M0.0Ve,3801,4.86,-0.34,Yee2017
268,GL 250B,103.07521,-5.19006,M2.5V,3481,4.76,0.14,Yee2017
269,GL 273,111.85208,5.22579,M3.5V,3317,4.89,-0.11,Yee2017
270,GL 382,153.07362,-3.74567,M2V,3623,4.72,0.13,Yee2017
271,GL 393,157.23146,0.84101,dM2,3548,4.82,-0.18,Yee2017
272,GL 514,202.49911,10.37716,M1.0Ve,3727,4.79,-0.09,Yee2017
273,GL 625,246.3526,54.3041,M1.5V,3475,4.9,-0.35,Yee2017
274,GL 686,264.47228,18.59171,M1.5Ve,3657,4.83,-0.25,Yee2017
275,GL 694,265.98318,43.37861,M2V,3464,4.79,0.0,Yee2017
276,GL 745A,286.77319,20.88804,M2.0V,3500,4.93,-0.33,Yee2017
277,GL 806,311.26708,44.49907,M2V,3542,4.78,-0.15,Yee2017
278,GL 83.1,30.054,13.05195,M4.5V,3080,5.05,-0.16,Yee2017
279,GL 87,33.08745,3.57562,M1V,3638,4.79,-0.36,Yee2017
280,GL 875,342.58093,-7.0901,M0.5V,3740,4.7,0.02,Yee2017
281,GL 896A,352.96738,19.93729,M3.5Ve,3353,4.79,0.03,Yee2017
282,GL 908,357.30219,2.40122,dM1,3646,4.83,-0.45,Yee2017
283,HIP 104432,317.32261,-13.3025,M1V,3545,4.86,-0.45,Yee2017
284,HIP 109388,332.4181,-4.64074,M3.5V,3530,4.78,0.37,Yee2017
285,HIP 11048,35.56101,47.88003,M0V,3785,4.67,0.14,Yee2017
286,HIP 115332,350.40604,17.29039,M3.5Ve,3324,4.79,0.24,Yee2017
287,HIP 115562,351.12714,57.85431,M1.5Ve,3764,4.74,0.31,Yee2017
288,HIP 15366,49.53117,38.25207,M1.5Ve,3700,4.65,0.53,Yee2017
289,HIP 1734,5.48352,-31.40606,M1.5,3600,4.73,0.27,Yee2017
290,HIP 21556,69.42444,-11.03888,M1V,3671,4.82,-0.04,Yee2017
291,HIP 22762,73.45825,-17.77342,M3V,3506,4.81,-0.24,Yee2017
292,HIP 23512,75.83369,-17.37354,M3V,3365,4.95,-0.12,Yee2017
293,HIP 36338,112.18933,-3.29815,M3V,3448,4.82,-0.01,Yee2017
294,HIP 36834,113.6143,62.94149,M0V,3681,4.87,-0.37,Yee2017
295,HIP 37217,114.67065,-21.22458,M3,3358,4.9,-0.18,Yee2017
296,HIP 46769,142.98472,36.32023,M1V,3692,4.74,-0.2,Yee2017
297,HIP 47513,145.29317,13.20956,M2.5V,3500,4.74,-0.05,Yee2017
298,HIP 51007,156.29515,-10.22869,M1V,3700,4.76,-0.02,Yee2017
299,HIP 5643,18.12766,-16.99898,M4.0Ve,3056,5.1,-0.26,Yee2017
300,HIP 57050,175.43597,42.75197,M4.0Ve,3304,4.81,0.07,Yee2017
301,HIP 57548,176.93499,0.80455,dM4,3192,5.08,-0.02,Yee2017
302,HIP 59748,183.78685,48.73257,K6V,3900,4.63,0.14,Yee2017
303,HIP 60093,184.85038,28.38237,M0.5Ve,3993,4.67,0.46,Yee2017
304,HIP 61706,189.7185,11.69616,M3.5Ve,3463,4.77,0.26,Yee2017
305,HIP 65016,199.91719,33.34653,M2V,3650,4.66,0.4,Yee2017
306,HIP 71253,218.57005,-12.51955,M3.5V,3211,4.89,0.17,Yee2017
307,HIP 8051,25.83408,4.32166,M2V,3458,4.81,-0.13,Yee2017
308,HIP 91699,280.49598,31.83049,M2V,3400,4.81,-0.16,Yee2017
309,HD 101501,175.26257,34.20163,G8V,5309,4.42,-0.03,Yee2017
310,HD 10476,25.62401,20.2685,K1V,5242,4.57,-0.02,Yee2017
311,HD 10697,26.2326,20.08315,G3Va,5442,3.91,0.12,Yee2017
312,HD 10700,26.01701,-15.93748,G8V,5290,4.5,-0.48,Yee2017
313,HD 107383,185.17928,17.79287,G8+IIIFe-1,4705,2.15,-0.3,Yee2017
314,HD 10780,26.93681,63.8525,K0V,5398,4.56,0.03,Yee2017
315,HD 115617,199.60131,-18.3112,G6.5V,5538,4.41,0.01,Yee2017
316,HD 117176,202.10754,13.77879,G4Va,5406,3.84,-0.06,Yee2017
317,HD 11964A,29.29003,-10.24243,G9VCN+1,5013,3.77,0.14,Yee2017
318,HD 119850,206.4324,14.89152,M2V,3618,4.78,-0.3,Yee2017
319,HD 120136,206.8156,17.4569,F7IV-V,6620,4.3,0.24,Yee2017
320,HD 126660,216.29915,51.85074,F7V,6211,4.08,-0.02,Yee2017
321,HD 130948,222.56588,23.91184,F9IV-V,5787,4.35,-0.05,Yee2017
322,HD 131156,222.84742,19.10047,G7Ve+K5Ve,5483,4.53,-0.14,Yee2017
323,HD 1326,4.59536,44.02296,M2V,3567,4.87,-0.36,Yee2017
324,HD 136202,229.82832,1.76541,F8IV,5661,3.83,-0.04,Yee2017
325,HD 143761,240.26109,33.30351,G0+VaFe-1,5627,4.15,-0.22,Yee2017
326,HD 145675,242.60131,43.81764,K0V,5518,4.53,0.44,Yee2017
327,HD 1461,4.67445,-8.053,G3VFe0.5,5386,4.22,0.16,Yee2017
328,HD 149661,249.08937,-2.32459,K1V,5337,4.59,0.04,Yee2017
329,HD 157214,260.16486,32.46769,G0V,5738,4.29,-0.37,Yee2017
330,HD 158633,261.25041,67.30671,K0,5203,4.54,-0.41,Yee2017
331,HD 16160,39.02039,6.88687,K3V,4662,4.54,-0.08,Yee2017
332,HD 161797,266.61469,27.72068,G5IV,5502,3.99,0.23,Yee2017
333,HD 164259,270.12088,-3.69027,F2V,6454,4.01,-0.03,Yee2017
334,HD 166,1.65327,29.0215,G8,5327,4.45,0.08,Yee2017
335,HD 16765,40.30832,-0.69566,F7V,6356,4.35,-0.15,Yee2017
336,HD 168151,273.47431,64.39729,F5V,6221,4.03,-0.28,Yee2017
337,HD 16895,41.04995,49.22845,F8V,6153,4.26,0.0,Yee2017
