,Name,RA,DEC,SpT,Teff,logg,Fe_H,ref_name
243,HD054810,107.55699999999999,-4.237111111111111,K0III,4697,2.35,-0.3,MILES1
244,HD054719,107.78487499999999,30.245166666666666,K2III,4368,1.77,0.08,MILES1
245,HD055496,108.04741666666665,-22.9835,GII:wp...,4800,2.8,-1.55,MILES1
246,HD055693,108.26112499999998,-24.225583333333333,G1V,5845,0.26,0.02,MILES1
247,HD055575,108.95891666666665,47.23997222222222,G0V,5857,4.39,-0.28,MILES1
248,HD056274,108.961625,-13.049472222222223,G5V,5707,4.59,-0.65,MILES1
249,HD056577,109.15345833333332,-23.315583333333333,K4III,4372,1.25,-0.2,MILES1
250,HD057060,109.66824999999999,-24.558694444444445,07Ia,35950,3.2,,MILES1*
251,HD057061,109.67704166666665,-24.954361111111112,09Ib,32300,3.0,,MILES1*
252,HD057264,110.51091666666665,36.76058333333334,G8III,4620,2.72,-0.33,MILES1
253,HD058207,111.43166666666666,27.798083333333334,K0III,4788,2.55,-0.12,MILES1
254,HD058551,111.70937499999998,21.53563888888889,F6V,6165,4.18,-0.55,MILES1
255,HD059612,112.46420833333332,-23.024277777777776,A5Ib,8330,1.45,0.08,MILES1
256,HD059374,112.62091666666666,18.961277777777777,F8V,5800,4.4,-0.9,MILES1
257,BD+241676,112.67195833333332,24.086166666666667,F,6201,4.38,-2.45,MILES1
258,HD059984,113.02399999999999,-8.881333333333334,F5V,6000,4.31,-0.68,MILES1
259,HD059881,113.02479166666666,1.9144722222222221,F0III,7636,3.09,0.2,MILES1
260,HD060219,113.15270833333332,-21.93041666666667,F3IV,5900,1.83,-0.49,MILES1
261,HD060179,113.64958333333331,31.888333333333332,A1V,10286,4.0,0.48,MILES1
262,LHS1930,113.72066666666665,-10.386138888888889,G5,5350,4.5,-1.24,MILES1
263,HD060522,113.98062499999997,26.89575,M0III-IIIb,3884,1.2,0.12,MILES1
264,HD061064,114.31954166666667,-4.110972222222222,F6III,6495,3.2,0.4,MILES1
265,BD-011792,114.95879166666666,-1.5223333333333333,G6V,4948,3.05,-1.05,MILES1
266,HD061606,114.99720833333333,-3.5975,K2V,4833,4.7,-0.15,MILES1
267,HD061772,115.09670833333332,-15.263916666666667,K3III,3996,1.47,-0.11,MILES1
268,HD061603,115.24383333333333,23.018527777777777,K5III,3870,1.5,0.24,MILES1
269,HD061935,115.31179166666665,-9.55113888888889,K0III,4779,2.5,-0.06,MILES1
270,HD061913,115.51341666666666,14.208499999999999,M3II-III,3530,0.7,,MILES1*
271,BD+002058A,115.93316666666665,-0.06691666666666667,sd:F,6024,4.5,-1.49,MILES1
272,HD062345,116.11187499999998,24.398,G8IIIa,5017,2.63,-0.08,MILES1
273,HD062301,116.23412499999999,39.55636111111111,F8V,5888,4.18,-0.71,MILES1
274,HD062721,116.53104166666665,18.51002777777778,K5III,3961,1.52,-0.22,MILES1
275,HD063302,116.91054166666665,-15.990694444444443,K3Iab,4500,0.2,0.12,MILES1
276,HD063352,117.25766666666665,13.371861111111112,K0III,4226,2.2,-0.31,MILES1
277,BD-182065,118.15837499999999,-18.593805555555555,,4700,1.9,-1.42,MILES1
278,HD064332,118.27195833333332,-11.624833333333333,S?,3500,0.5,-0.34,MILES1
279,HD064090,118.38799999999998,30.605055555555555,sdG2,5446,4.45,-1.76,MILES1
280,HD063791,118.61966666666666,62.13633333333333,G0,4629,1.76,-1.63,MILES1
281,HD064606,118.64241666666665,-1.41225,G8V,5210,4.24,-0.97,MILES1
282,HD064488,118.97795833333333,39.28677777777778,A2,8616,3.35,-0.75,MILES1
