,Name,RA,DEC,SpT,Teff,logg,Fe_H,ref_name,Teff_err,logg_err,Fe_H_err
193,Gl 606,239.97242,-8.25321,dM1.0,3625,4.89,-0.19,Schw2019,51.0,0.07,0.16
194,Gl 609,240.71227,20.58917,dM4.0,3330,5.04,0.04,Schw2019,51.0,0.07,0.16
195,G 137-084,242.31777,9.3521,dM3.0,3450,4.98,-0.1,Schw2019,51.0,0.07,0.16
196,K2-33,242.56141,-19.31928,dM3.0,3657,4.73,0.18,Schw2019,51.0,0.07,0.16
197,Gl 617B,244.18881,67.25624,dM3.0,3488,4.93,-0.03,Schw2019,51.0,0.07,0.16
198,Gl 617A,244.17811,67.23884,dM0.0,4090,4.62,0.15,Schw2019,51.0,0.07,0.16
199,Gl 625,246.3526,54.3041,dM1.5,3525,4.97,-0.26,Schw2019,51.0,0.07,0.16
200,Gl 628,247.57524,-12.66259,dM3.5,3389,5.0,0.0,Schw2019,51.0,0.07,0.16
201,GJ 1203,248.1883,12.61278,dM3.0,3487,4.91,0.01,Schw2019,51.0,0.07,0.16
202,GJ 3972,251.55726,16.478,dM2.5,3506,4.92,-0.06,Schw2019,51.0,0.07,0.16
203,Gl 643,253.85509,-8.32258,dM3.5,3345,5.04,-0.05,Schw2019,51.0,0.07,0.16
204,GJ 1207,254.2739,-4.34898,dM3.5,3284,5.09,-0.1,Schw2019,51.0,0.07,0.16
205,Gl 649,254.53687,25.74416,dM1.0,3734,4.78,-0.08,Schw2019,51.0,0.07,0.16
206,GJ 3988,255.84951,51.40635,dM4.5,3243,5.08,0.05,Schw2019,51.0,0.07,0.16
207,Gl 654,256.30742,-5.09424,dM1.5,3642,4.81,-0.01,Schw2019,51.0,0.07,0.16
208,Gl 655,256.78121,21.55402,dM3.0,3486,4.94,-0.07,Schw2019,51.0,0.07,0.16
209,GJ 3992,257.89478,38.44275,dM3.5,3426,4.97,0.01,Schw2019,51.0,0.07,0.16
210,GJ 2128,259.17075,8.05839,dM2.0,3543,4.91,-0.1,Schw2019,51.0,0.07,0.16
211,Gl 671,259.96964,41.71381,dM2.5,3498,4.93,-0.07,Schw2019,51.0,0.07,0.16
212,Gl 678.1 A,262.5947,5.54852,dM0.0,3812,4.77,-0.15,Schw2019,51.0,0.07,0.16
213,Gl 685,263.89366,61.68156,dM0.5,3893,4.69,0.06,Schw2019,51.0,0.07,0.16
214,Gl 686,264.47228,18.59171,dM1.0,3656,4.87,-0.23,Schw2019,51.0,0.07,0.16
215,GJ 1222,268.57135,7.37911,dM4.0,3322,5.02,0.12,Schw2019,51.0,0.07,0.16
216,Gl 699,269.45208,4.69336,dM3.5,3273,5.11,-0.15,Schw2019,51.0,0.07,0.16
217,GJ 4040,269.46236,46.58865,dM2.5,3441,4.97,-0.04,Schw2019,51.0,0.07,0.16
218,LP 071-082,270.56919,64.26229,dM5.0,3124,5.16,-0.09,Schw2019,51.0,0.07,0.16
219,GJ 1223,270.69277,37.51749,dM5.0,3163,5.12,0.03,Schw2019,51.0,0.07,0.16
220,Gl 701,271.28158,-3.03132,dM1.0,3663,4.86,-0.2,Schw2019,51.0,0.07,0.16
221,G 140-051,274.13142,4.87938,dM5.0,3226,5.09,0.04,Schw2019,51.0,0.07,0.16
222,TYC 3529-1437-1,274.35469,48.36731,dM2.0,3505,4.98,-0.22,Schw2019,51.0,0.07,0.16
223,GJ 4048A,274.51761,38.77572,dM3.0,3440,4.98,-0.08,Schw2019,51.0,0.07,0.16
224,GJ 4053,274.73847,66.19258,dM4.5,3181,5.15,-0.17,Schw2019,51.0,0.07,0.16
225,Gl 710,274.96184,-1.93861,dK7,4143,4.66,-0.11,Schw2019,51.0,0.07,0.16
226,Gl 712,275.52782,6.34377,dM4.0,3405,4.99,0.0,Schw2019,51.0,0.07,0.16
227,GJ 1227,275.61309,62.05054,dM4.0,3219,5.11,-0.04,Schw2019,51.0,0.07,0.16
228,GJ 4062,277.99323,40.68639,dM3.5,3413,5.01,-0.07,Schw2019,51.0,0.07,0.16
229,GJ 4063,278.65272,40.12399,dM3.5,3400,4.97,0.11,Schw2019,51.0,0.07,0.16
230,Gl 720A,278.82663,45.74404,dM0.5,3932,4.68,0.06,Schw2019,51.0,0.07,0.16
231,GJ 4065,279.08013,13.60733,dM4.0,3304,5.08,-0.08,Schw2019,51.0,0.07,0.16
232,Gl 724,280.23878,-13.37961,dM1.0,3812,4.7,0.08,Schw2019,51.0,0.07,0.16
233,GJ 4070,280.49598,31.83049,dM3.0,3471,4.96,-0.1,Schw2019,51.0,0.07,0.16
234,GJ 4077,282.00529,-14.58089,dM2.5,3496,4.94,-0.11,Schw2019,51.0,0.07,0.16
235,Gl 729,282.45568,-23.83624,dM3.5,3293,5.12,-0.25,Schw2019,51.0,0.07,0.16
236,Gl 740,284.50057,5.90812,dM0.5,3923,4.68,0.08,Schw2019,51.0,0.07,0.16
237,Gl 745A,286.77319,20.88803,dM2.0,3536,4.94,-0.2,Schw2019,51.0,0.07,0.16
238,Gl 745B,286.80502,20.87702,dM2.0,3526,4.96,-0.23,Schw2019,51.0,0.07,0.16
239,GJ 4098,287.12469,32.281,dM3.0,3454,4.96,-0.03,Schw2019,51.0,0.07,0.16
240,GJ 1232,287.46197,17.66845,dM4.5,3259,5.08,0.02,Schw2019,51.0,0.07,0.16
241,Gl 752A,289.23024,5.1689,dM2.5,3534,4.9,-0.04,Schw2019,51.0,0.07,0.16
242,GJ 1235,290.41125,20.86757,dM4.5,3059,5.17,-0.03,Schw2019,51.0,0.07,0.16
243,GJ 4109,291.28535,28.35383,dM3.0,3403,5.0,-0.02,Schw2019,51.0,0.07,0.16
244,Gl 763,293.666,4.58251,sdM0.0,4062,4.69,-0.17,Schw2019,51.0,0.07,0.16
245,GJ 1243,297.78884,46.48339,dM4.0,3278,5.1,-0.11,Schw2019,51.0,0.07,0.16
246,GJ 1253,306.52209,58.57297,dM5.0,3189,5.11,0.05,Schw2019,51.0,0.07,0.16
247,Gl 793,307.63352,65.44956,dM2.5,3471,4.96,-0.1,Schw2019,51.0,0.07,0.16
248,GJ 1254,308.418,61.75377,dM4.0,3372,4.99,0.12,Schw2019,51.0,0.07,0.16
249,GJ 1256,310.1411,15.49965,dM4.5,3234,5.1,0.02,Schw2019,51.0,0.07,0.16
250,Gl 806,311.26708,44.49907,dM1.5,3586,4.89,-0.15,Schw2019,51.0,0.07,0.16
251,LP 816-060,313.13757,-16.97472,dM4.0,3321,5.05,-0.02,Schw2019,51.0,0.07,0.16
252,Gl 809A,313.33245,62.15439,dM1.0,3843,4.71,0.04,Schw2019,51.0,0.07,0.16
253,Gl 810B,313.90465,-14.06524,dM5.0,3177,5.13,-0.03,Schw2019,51.0,0.07,0.16
254,Gl 811.1,314.19415,-10.44854,dM2.5,3514,4.91,-0.03,Schw2019,51.0,0.07,0.16
255,Gl 816,315.49434,-6.31874,dM2.5,3507,4.92,-0.08,Schw2019,51.0,0.07,0.16
256,GJ 4184,318.80248,25.79598,dM3.0,3675,4.68,0.29,Schw2019,51.0,0.07,0.16
257,LSPM J2116+0234,319.11368,2.58094,dM3.0,3485,4.94,-0.08,Schw2019,51.0,0.07,0.16
258,TYC 2187-512-1,320.52617,22.93143,dM1.0,3705,4.83,-0.2,Schw2019,51.0,0.07,0.16
259,GJ 4205,323.70975,51.53711,dM3.0,3497,4.91,0.0,Schw2019,51.0,0.07,0.16
