,Name,RA,DEC,SpT,Teff,logg,Fe_H,ref_name
179,HD 136512,230.03599999999997,29.616305555555556,K0III,4686,2.72,-0.4,STELIB
180,HD 137759,231.23241666666664,58.96602777777778,K2III,4472,2.74,0.19,STELIB
181,HD 138290,232.73091666666664,8.57911111111111,F4Vw,6834,4.11,-0.05,STELIB
182,HD 139669,232.85437499999998,77.34933333333333,K5III,3907,1.69,-0.11,STELIB
183,HD 139641,234.4564583333333,40.35327777777778,G8III-IV,4937,3.21,-0.54,STELIB
184,HD 139798,234.56724999999997,46.797999999999995,F2V,6788,4.0,-0.13,STELIB
185,HD 141004,236.6114583333333,7.35325,G0Vvar,5899,4.22,-0.01,STELIB
186,HD 141714,237.39874999999998,26.068555555555555,G5III-IV,5218,3.12,-0.31,STELIB
187,HD 142373,238.16745833333331,42.45,F9V,5823,4.11,-0.41,STELIB
188,HD 144206,240.699375,46.03686111111111,B9III,11957,3.7,-0.17,STELIB
189,HD 145675,242.60087499999997,43.818361111111116,K0V,5312,4.4,0.46,STELIB
190,HD 145976,243.1892916666666,26.67066666666667,F3V,6720,4.1,0.01,STELIB
191,HD 146051,243.58654166666662,-3.6939722222222224,M1III,3679,1.4,0.32,STELIB
192,HD 147394,244.9352083333333,46.31327777777778,B5IV,14908,3.81,-0.07,STELIB
193,HD 147547,245.48016666666666,19.153027777777776,A9III,7125,,,STELIB*
194,HD 148513,247.14158333333324,0.6651666666666667,K4IIIp,4003,1.03,-0.08,STELIB
195,HD 148783,247.16049999999996,41.88169444444444,M6IIIvar,3250,0.2,-0.02,STELIB
196,HD 150275,247.66283333333328,77.44586111111111,K1III,4667,2.5,-0.5,STELIB
197,HD 149121,248.14866666666668,5.521222222222222,B9.5III,11067,3.78,0.17,STELIB
198,HD 149661,249.08825,-2.323833333333333,K2V,5362,4.56,0.01,STELIB
199,HD 151044,250.61537499999994,49.93669444444444,F8V,6110,4.4,-0.02,STELIB
200,HD 151217,251.457875,8.582583333333334,K5III,4093,3.36,-0.04,STELIB
201,HD 152830,253.81654166666667,13.620000000000001,F5II,6811,3.7,-0.13,STELIB
202,HD 154417,256.32012499999996,0.7033611111111111,F9V,5859,4.27,-0.11,STELIB
203,HD 154733,256.57545833333336,22.084249999999997,K4III,4220,2.2,-0.13,STELIB
204,HD 155646,258.22637499999996,0.3521944444444444,F6III,6168,3.94,-0.14,STELIB
205,HD 156283,258.761875,36.80916666666666,K3IIvar,4128,1.68,-0.18,STELIB
206,HD 157373,260.14,48.188805555555554,F6Vawvar,6433,4.09,-0.5,STELIB
207,HD 157214,260.1644583333333,32.47027777777778,G0V,5686,4.26,-0.36,STELIB
208,HD 157089,260.27979166666665,1.442388888888889,F9V,5786,4.13,-0.55,STELIB
209,HD 157856,261.491,-1.6519166666666665,F3V,6327,3.96,-0.18,STELIB
210,HD 157881,261.43987500000003,2.1143055555555557,K7V,4073,4.58,0.16,STELIB
211,HD 157999,261.6286666666666,4.140333333333333,K3IIvar,4146,,0.01,STELIB
212,HD 159181,262.60825,52.301361111111106,G2II,5169,1.55,0.14,STELIB
213,HD 159332,263.34516666666667,19.256888888888888,F6V,6172,3.88,-0.23,STELIB
214,HD 160693,264.9051666666666,37.18575,G0V,5747,4.21,-0.63,STELIB
215,HD 160910,265.49433333333326,15.952166666666667,F4Vw,6502,4.0,-0.13,STELIB
216,HD 161817,266.66937499999995,25.74925,sdA2,7702,2.94,-1.3,STELIB
217,HD 163506,268.8549583333333,26.049972222222223,F2Iavar,6400,1.2,-0.41,STELIB
218,HD 163993,269.4409583333333,29.24791666666667,K0III,5014,2.78,0.02,STELIB
219,HD 164136,269.62562499999996,30.18927777777778,F2II,6586,2.07,-0.42,STELIB
220,HD 164349,270.01424999999995,16.750944444444446,K0II-III,4383,1.8,-0.22,STELIB
221,HD 164353,270.1613333333333,2.931583333333333,B5Ib,22150,3.73,-0.16,STELIB
222,HD 165195,271.1670416666666,3.7792777777777777,K3p,4450,1.31,-2.16,STELIB
223,HD 165341,271.3633749999999,2.5024444444444445,K0V,5025,4.69,-0.2,STELIB
224,HD 165908,271.7567083333333,30.561861111111114,F7V,5952,4.26,-0.56,STELIB
225,HD 166620,272.40687499999996,38.45891666666667,K2V,4955,4.5,-0.25,STELIB
226,HD 166285,272.4750416666666,3.1203055555555554,F5V,6271,3.9,-0.22,STELIB
227,HD 168151,273.47233333333327,64.39719444444445,F5V,6463,4.05,-0.3,STELIB
228,HD 167858,274.2702083333333,1.0058055555555556,F2V,7041,4.0,0.17,STELIB
229,HD 172167,279.234125,38.783,A0Vvar,9520,3.97,-0.55,STELIB
230,HD 173780,281.51862499999993,26.66208333333333,K3III,4413,2.57,-0.11,STELIB
231,HD 173880,281.75508333333335,18.181222222222225,A5III,8113,,-0.84,STELIB
232,HD 175305,281.773875,74.72522222222223,G5III,5046,2.55,-1.44,STELIB
233,HD 173819,281.87075,-5.7050833333333335,K0Ibpvar,4421,0.0,-0.88,STELIB
234,HD 175640,284.0944166666667,-1.7998055555555554,B9III,12067,3.93,-0.47,STELIB
235,HD 176437,284.7359166666666,32.68955555555555,B9III,10080,3.5,0.11,STELIB
236,HD 176303,284.773875,13.622555555555556,F8V,6122,4.22,-0.06,STELIB
237,HD 181470,289.7547916666666,37.44530555555555,A0III,7887,3.53,-0.32,STELIB
238,HD 182101,290.7014583333333,9.912888888888888,F6V,6303,4.18,-0.26,STELIB
239,HD 182490,291.092,16.93775,A2III-IV,,,,STELIB*
240,HD 338529,293.1329583333333,26.391,B5,6192,3.79,-2.29,STELIB
241,HD 184960,293.5823333333333,51.23708333333333,F7V,6249,4.36,-0.14,STELIB
242,HD 184927,293.88337499999994,31.276638888888886,B2V,21913,3.8,0.41,STELIB
243,HD 185395,294.11058333333335,50.22047222222223,F4V,6704,4.35,-0.02,STELIB
244,HD 185657,294.48616666666663,49.284055555555554,G6V,4912,3.0,-0.41,STELIB
245,HD 188209,297.996125,47.02736111111111,O9.5Ia,32903,3.32,,STELIB*
246,HD 187929,298.11816666666664,1.0056666666666667,F6Ib:,5826,1.5,0.07,STELIB
247,HD 188665,298.32237499999997,57.523472222222225,B5V,,,,STELIB*
248,HD 188510,298.79041666666666,10.74025,G5Vwe,5536,4.59,-1.63,STELIB
249,HD 189849,300.27504166666665,27.753555555555554,A4III,7860,3.61,0.01,STELIB
250,HD 194093,305.5570833333333,40.25669444444444,F8Ib,5253,0.99,-0.07,STELIB
251,HD 195725,307.395125,62.99413888888889,A7III,7769,4.0,0.13,STELIB
252,HD 195986,308.2180416666667,43.19158333333333,B4III,,,,STELIB*
253,HD 197345,310.3579583333333,45.28033333333333,A2Ia,8582,1.13,0.48,STELIB
254,Feige 110,349.9933333333333,-5.165611111111112,DA:,,,,STELIB*
