,Name,RA,DEC,SpT,Teff,logg,Fe_H,ref_name,Teff_err,logg_err,Fe_H_err
172,HD 4307,11.369541666666665,-12.880805555555556,G2V,5809,4.06,-0.28,CFLIB,0.0,0.0,0.0
173,HD 4395,11.557291666666666,-11.452388888888889,G5,5450,3.3,-0.33,CFLIB,0.0,0.0,0.0
174,HD 4502,11.834708333333332,24.267166666666665,K1IIe,,,,CFLIB*,0.0,0.0,0.0
175,HD 4614,12.276208333333331,57.815194444444444,G0V,5946,4.47,-0.31,CFLIB,0.0,0.0,0.0
176,HD 4727,12.453541666666665,41.07891666666667,B5V+...,6072,4.0,0.06,CFLIB,0.0,0.0,0.0
177,HD 4744,12.469958333333333,30.450277777777778,G8IV,4541,2.47,-0.47,CFLIB,0.0,0.0,0.0
178,HD 4813,12.531625,-10.644333333333332,F7IV-V,6254,4.32,-0.15,CFLIB,0.0,0.0,0.0
179,HD 4817,12.818249999999999,61.805499999999995,K3Iab:,4200,0.91,-0.29,CFLIB,0.0,0.0,0.0
180,HD 4963,12.976583333333332,27.77947222222222,K1III,4553,2.2,-0.3,CFLIB,0.0,0.0,0.0
181,HD 5007,13.096833333333333,25.780638888888888,K1III,4477,2.6,0.16,CFLIB,0.0,0.0,0.0
182,HD 5015,13.267499999999998,61.12397222222222,F8V,6196,3.98,0.0,CFLIB,0.0,0.0,0.0
183,HD 5234,13.750666666666664,58.97269444444445,K2III,4275,1.2,-0.31,CFLIB,0.0,0.0,0.0
184,HD 5286,13.742124999999998,23.628333333333334,K1IV,4775,2.8,0.04,CFLIB,0.0,0.0,0.0
185,HD 5394,14.177208333333333,60.716750000000005,B0IVe,,,-0.09,CFLIB*,0.0,0.0,0.0
186,HD 5395,14.166291666666666,59.18105555555555,G8IIIb,4770,2.9,-0.51,CFLIB,0.0,0.0,0.0
187,HD 5516,14.301666666666664,23.41763888888889,G8III,4880,2.7,-0.54,CFLIB,0.0,0.0,0.0
188,HD 5750,14.899333333333331,32.49219444444444,F5,6223,4.21,-0.44,CFLIB,0.0,0.0,0.0
189,HD 5848,17.186999999999998,86.25708333333333,K2II-III,4400,2.42,0.04,CFLIB,0.0,0.0,0.0
190,HD 5916,15.329249999999996,45.45205555555556,G8III-IV,4755,2.0,-0.8,CFLIB,0.0,0.0,0.0
191,HD 6186,15.735875,7.890138888888888,G9III,4820,2.99,-0.39,CFLIB,0.0,0.0,0.0
192,HD 6203,15.760583333333331,-4.836611111111111,K0III,4560,2.96,-0.35,CFLIB,0.0,0.0,0.0
193,HD 6397,16.27233333333333,14.946138888888889,F4II-III,,,,CFLIB*,0.0,0.0,0.0
194,HD 6461,16.356041666666663,-12.903361111111112,G3V,5110,2.3,-0.93,CFLIB,0.0,0.0,0.0
195,HD 6482,16.403666666666666,-9.979333333333333,K0III,4694,2.6,-0.05,CFLIB,0.0,0.0,0.0
