,Name,RA,DEC,SpT,Teff,logg,Fe_H,ref_name
193,HD038230,86.50786,37.28465,K0V,5208,4.53,-0.08,TGMET
194,HD038529,86.64547,1.16819,G4V,5624,3.95,0.37,TGMET
195,HD039003,87.8725,39.14848,K0III,4606,2.17,-0.1,TGMET
196,HD039070,87.40226,-14.48367,G8III,5047,2.8,0.03,TGMET
197,HD039118,87.62511,2.0247,G8III+...,,,,TGMET*
198,HD039400,88.11016,1.85514,K2IIvar,4240,1.54,-0.25,TGMET
199,HD039853,88.68179,-11.77419,K3 comp,3979,1.23,-0.37,TGMET
200,HD039910,88.87571,-4.61654,K2III:,4618,2.6,0.27,TGMET
201,HD040020,89.20604,11.52106,K2III,4670,2.3,0.13,TGMET
202,HD040460,90.02516,27.27218,K1III,4541,2.0,-0.5,TGMET
203,HD040801,90.82483,42.91157,K0III,4703,2.2,-0.21,TGMET
204,HD041079,90.79166,7.62715,K2,4351,,,TGMET*
205,HD041307,91.16,8.22124,K0,,,,TGMET*
206,HD041361,91.24243,5.41997,G7III:,,,,TGMET*
207,HD041460,91.34462,0.61284,K5,,,,TGMET*
208,HD041593,91.66866,15.54211,K0,5323,4.46,0.0,TGMET
209,HD041597,92.49589,58.93569,G8III,4600,2.68,-0.54,TGMET
210,HD041733,91.74737,0.07696,K2,,,,TGMET*
211,HD042089,92.2802,7.51353,G0,,,,TGMET*
212,HD042250,94.01116,70.78157,G5,5402,4.6,0.01,TGMET
213,HD042256,92.45476,2.86947,K0,,,,TGMET*
214,HD042317,92.53878,3.3131,G5,,,,TGMET*
215,HD042341,92.39385,-14.58462,K2III,4655,2.6,0.25,TGMET
216,HD042481,92.76272,2.3305,K2,,,,TGMET*
217,HD042773,93.24277,7.2777,K5,,,,TGMET*
218,HD042787,93.24822,6.01626,M...,,,,TGMET*
219,HD042807,93.30209,10.62714,G8V,5737,,,TGMET*
220,HD042983,93.46982,2.80885,K0,,,,TGMET*
221,HD043023,93.47597,-3.74137,G8III,5005,2.68,-0.04,TGMET
222,HD043039,93.84454,29.49808,G8IIIvar,4692,2.54,-0.39,TGMET
223,HD043083,93.62542,4.54308,K0,,,,TGMET*
224,HD043188,93.80028,8.44633,K0,,,,TGMET*
225,HD043776,94.57006,3.98452,K0,,,,TGMET*
226,HD044007,94.7022,-14.8454,G5IV:w...,4878,2.18,-1.57,TGMET
227,HD044274,95.26204,2.56879,M...,,,,TGMET*
228,HD044418,95.44601,2.34244,K0,4966,,,TGMET*
229,HD044638,95.73125,3.76077,K0,,,,TGMET*
230,HD045152,96.46412,0.81274,G5,,,,TGMET*
231,HD045282,96.66989,3.42494,G0,5255,3.15,-1.46,TGMET
232,HD045317,96.68081,0.45423,G5,,,,TGMET*
233,HD045355,96.8127,6.51068,K5,,,,TGMET*
234,HD045415,96.83521,2.90829,G9III,4776,2.53,0.06,TGMET
235,HD045416,96.80734,0.29925,K1II,4500,1.96,-0.15,TGMET
236,HD045507,97.01204,5.92255,G5,,,,TGMET*
237,HD045829,97.50956,7.92111,K0Iab,4500,0.2,-0.01,TGMET
238,HD046374,98.40069,14.15516,K2III:,4661,2.3,0.03,TGMET
239,HD046480,99.42244,61.48123,G8IV-V,4791,2.66,-0.49,TGMET
240,HD046758,101.11997,76.58586,G5,5003,2.9,-0.3,TGMET
241,HD047127,99.39125,12.18056,G5,5622,4.38,0.1,TGMET
242,HD047138,99.09521,-18.65991,G8/K0III+..,5211,3.0,-0.06,TGMET
243,HD047366,99.41997,-12.98511,K1III:,4772,2.6,-0.16,TGMET
244,HD047530,99.79376,0.40307,G5,,,,TGMET*
245,HD047752,100.31546,23.95771,K2,4715,4.72,-0.1,TGMET
246,HD048329,100.98303,25.13113,A3mA6-A9,4301,0.77,0.11,TGMET
247,HD048432,101.70629,57.16917,K0III,4836,2.65,-0.29,TGMET
248,HD048433,100.99705,13.22802,K1III,4462,1.88,-0.25,TGMET
249,HD048682,101.68474,43.57742,G0V,6107,4.41,0.1,TGMET
250,HD049063,101.68081,4.35968,G5,4547,,,TGMET*
251,HD049367,102.09991,6.21302,K1II,,,,TGMET*
252,HD049368,102.0929,5.54168,"S5,1",3700,1.0,-0.45,TGMET
253,HD050281,103.07521,-5.17371,K3V,4777,4.41,0.01,TGMET
254,HD050522,104.31919,58.42276,G5III-IV,5088,3.12,0.05,TGMET
255,HD050692,103.82778,25.3757,G0V,5891,4.36,-0.18,TGMET
256,HD050904,105.08718,67.3306,G5,4953,2.7,-0.13,TGMET
257,HD051105,104.04977,2.31662,G5,,,,TGMET*
258,HD051219,104.14244,1.16209,G8V,5585,4.47,-0.02,TGMET
259,HD051866,105.41078,48.37867,K3V,4896,4.51,0.0,TGMET
260,HD053329,106.5483,34.47397,G8IV,5012,2.8,-0.38,TGMET
261,HD053927,107.01766,29.83449,G5,4930,4.66,-0.37,TGMET
262,HD054079,106.95621,7.47121,K0III:,,,,TGMET*
263,HD054371,107.39746,25.72865,G8V,5587,,,TGMET*
264,HD054489,107.28247,2.25309,G9III,,,,TGMET*
265,HD054619,107.4626,9.30888,K2,,,,TGMET*
266,HD054632,107.49136,7.72464,K2,,,,TGMET*
267,HD054810,107.55701,-4.23711,K0III,4707,2.4,-0.47,TGMET
268,HD055280,108.97876,59.63747,K2III,4654,2.25,-0.08,TGMET
269,HD055575,108.95891,47.23996,G0V,5894,4.33,-0.32,TGMET
270,HD056793,109.69262,8.48684,K0,,,,TGMET*
271,HD056891,109.73131,0.07932,K0,4708,2.4,0.11,TGMET
272,HD057313,110.24014,6.23759,G5,,,,TGMET*
273,HD057707,110.618,0.70083,G5,,,,TGMET*
274,HD057838,110.7912,5.37932,K2,,,,TGMET*
275,HD058207,111.43165,27.79808,G9III+...,4777,2.44,-0.13,TGMET
276,HD058368,111.41237,7.56085,K0,,,,TGMET*
